Crops,Crop,Crop Year,District Name,Season,Soil,State Name,Type Of  Watersource,Type Of Crop,Area,ARIYALUR,CAUVERY,CHENGLEPUT,COIMBATORE,Cropduration Max,Cropduration Min,CUDDALORE,DHARMAPURI,DINDIGUL,ERODE,HILLY REGIONS OF SHEVROY,JAWAD HILLS,KANCHEEPURAM,KANYAKUMARI,KARUR,KOLLI HILLS,KRISHNAGIRI,MADURAI,Max Temp,Min Temp,NAGAPATTINAM,NAMAKAL,PERAMBALUR,Production,PUDUKKOTTAI,RAMANATHANPURAM,Relative Humidity Max,Relative Humidity Min,SALEM,SIVAGANGAI,Soil Ph High,Soil Ph Low,TANJORE,THALAVADI HILLS,THE NILGRIS,THENI,THIRUCHIRAPALLI,THIRUNELVELI,THIRUPPUR,THIRUVALLUR,THIRUVANNAMALAI,THOOTHUKUDI,TIRUVARUR,VELLORE,VILLUPURAM,VIRUDHUNAGAR,Water Required Min,Waterrequired Max
rice,Rice,2008,ARIYALUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,24574,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
groundnut,Groundnut,2008,ARIYALUR,Whole Year,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,14528,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2008,ARIYALUR,Whole Year,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,9797,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
onion,Onion,2008,ARIYALUR,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,21,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
ragi,Ragi,2008,ARIYALUR,Whole Year,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,13,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
sugarcane,Sugarcane,2008,ARIYALUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,8608,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sunflower,Sunflower,2008,ARIYALUR,Whole Year,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,221,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
sweet potato,Sweet potato,2008,ARIYALUR,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,2,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
rice,Rice,2009,ARIYALUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,25978,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,80462,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
groundnut,Groundnut,2009,ARIYALUR,Whole Year,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,13878,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,27002,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2009,ARIYALUR,Whole Year,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,9979,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,23891,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
onion,Onion,2009,ARIYALUR,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,47,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,458,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
ragi,Ragi,2009,ARIYALUR,Whole Year,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,47,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,130,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
sugarcane,Sugarcane,2009,ARIYALUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,6970,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,809944,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sunflower,Sunflower,2009,ARIYALUR,Whole Year,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,111,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,148,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
sweet potato,Sweet potato,2009,ARIYALUR,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,2,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,29,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
groundnut,Groundnut,2010,ARIYALUR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,12058,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,37266,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2010,ARIYALUR,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,9996,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,8630,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2010,ARIYALUR,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,42,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,109,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2010,ARIYALUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,25211,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,97869,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sunflower,Sunflower,2010,ARIYALUR,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,202,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,245,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
sugarcane,Sugarcane,2010,ARIYALUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,7500,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,739006,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
groundnut,Groundnut,2011,ARIYALUR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,9999,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,35766,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2011,ARIYALUR,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,11778,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,60881,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2011,ARIYALUR,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,14,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,37,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2011,ARIYALUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,24097,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,97257,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
groundnut,Groundnut,2011,ARIYALUR,Rabi,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,3028,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,18093,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2011,ARIYALUR,Rabi,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,357,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,2374,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2011,ARIYALUR,Rabi,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,3,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,9,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
onion,Onion,2011,ARIYALUR,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,26,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,329,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,2011,ARIYALUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,7967,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,880259,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sunflower,Sunflower,2011,ARIYALUR,Whole Year,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,228,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,418,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
groundnut,Groundnut,2012,ARIYALUR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,9108,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,23014,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2012,ARIYALUR,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,14743,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,35469,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2012,ARIYALUR,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,8,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,15,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2012,ARIYALUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,17523,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,36392,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sunflower,Sunflower,2012,ARIYALUR,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,754,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,922,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
sugarcane,Sugarcane,2012,ARIYALUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,7804,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,707584,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
groundnut,Groundnut,2013,ARIYALUR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,6436,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,21168,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2013,ARIYALUR,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,17153,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,91257,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
